"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOLS"
"VPS50",0.541843516656112,4.2473743151557,3.7140609903423,0.00130961954607692,0.272298150325483,-0.926376515818593,"VPS50"
"SETDB2",0.787783566860721,5.96705183448179,3.70375592639968,0.00134188750258876,0.274958861879187,-0.946329611933954,"SETDB2"
"SERPINB9",0.299294570373749,3.32896141947968,3.70172280775243,0.00134834598431891,0.274958861879187,-0.950265791054551,"SERPINB9"
"RGPD3",-0.16175553030782,3.20455903830675,-3.69646726416908,0.00136518368383707,0.275741100636349,-0.960440004906385,"RGPD3"
"ZNF680",0.479436994745629,4.03135772959199,3.68856020177115,0.00139090864975617,0.2779690549955,-0.975745409770415,"ZNF680"
"RBM25",0.878586798155793,6.8636869042859,3.68480208102369,0.00140330277587322,0.2779690549955,-0.983019045943598,"RBM25"
"SUCLG2",0.631891742424126,5.30411875177511,3.67523703579439,0.00143534240513078,0.2779690549955,-1.00152920680569,"SUCLG2"
"HMGCS1",0.963737055960782,6.21552063905615,3.67518851079393,0.00143550677592935,0.2779690549955,-1.00162310261565,"HMGCS1"
"AGA",0.692137116920456,4.67539651705713,3.67289359925462,0.0014433016997352,0.2779690549955,-1.00606364543884,"AGA"
"ZFAND1",0.522288850065012,4.89018557367346,3.66436223052236,0.00147264781306428,0.2779690549955,-1.0225695477213,"ZFAND1"
"ZNF573",0.428279721066645,3.94111552874925,3.66050118424926,0.00148612196309907,0.2779690549955,-1.0300386358044,"ZNF573"
"PARP9",0.838490451636464,5.85948189407124,3.65482112908172,0.00150616559607218,0.2779690549955,-1.04102538710584,"PARP9"
"RPS27A",0.730790194316693,10.0167251395094,3.65461802206787,0.00150688723630158,0.2779690549955,-1.04141822466188,"RPS27A"
"NLK",0.293071292779908,3.61102514961218,3.65420274668469,0.00150836377451099,0.2779690549955,-1.04222142008948,"NLK"
"RRN3",0.715279122137381,5.39332901156642,3.64815941055928,0.00153001358389196,0.2779690549955,-1.05390913861358,"RRN3"
"AMY2A",0.544812206077271,4.74914183996544,3.64379677754423,0.00154583276790802,0.2779690549955,-1.06234538503991,"AMY2A"
"TP53INP1",0.762283040324606,7.5097963147052,3.63748331356465,0.00156901203340549,0.2779690549955,-1.07455250618813,"TP53INP1"
"DUSP4",-0.586534616470258,3.73471596992598,-3.63196047469285,0.0015895696253078,0.2779690549955,-1.08522941579536,"DUSP4"
"MPHOSPH8",0.931041466522465,8.13940810883136,3.63024182360479,0.00159602099233946,0.2779690549955,-1.08855166395907,"MPHOSPH8"
"ABHD17A",-0.805255750030222,4.96919316194408,-3.62729682219172,0.00160713587030171,0.2779690549955,-1.09424418325209,"ABHD17A"
"ACTR3",0.931149146044888,6.40703455790973,3.62657608261201,0.0016098676604375,0.2779690549955,-1.09563726727439,"ACTR3"
"DEFB130A",-0.169763795950051,3.1996127542969,-3.62557780765046,0.0016136589495901,0.2779690549955,-1.09756674447688,"DEFB130A"
"PTMA",-1.16996126260748,6.17435658567137,-3.61761351709035,0.00164422315741362,0.2779690549955,-1.11295844488349,"PTMA"
"MTURN",0.568167880707446,4.89742199539699,3.61720832789479,0.00164579330618834,0.2779690549955,-1.11374142393383,"MTURN"
"BBS7",0.326979972961561,3.85081408899071,3.61574991787716,0.00165145704118413,0.2779690549955,-1.11655955560145,"BBS7"
"SNORD68",-0.439020692929175,4.04553167525437,-3.60031741548802,0.00171257948211889,0.278923753989402,-1.14637349975241,"SNORD68"
"LRRN3",1.28092148246617,5.19817151288181,3.59558160539238,0.00173177959304708,0.278923753989402,-1.1555200335004,"LRRN3"
"MED13L",0.593759142658868,4.58036162309089,3.58787981436735,0.00176345851828377,0.278923753989402,-1.17039229423552,"MED13L"
"FCGBP",0.945671356776738,5.63494069579018,3.5866548539426,0.00176854937441293,0.278923753989402,-1.17275740327673,"FCGBP"
"CENPF",0.959471381323193,4.99856672043971,3.58083150520366,0.00179294956672783,0.278923753989402,-1.1839997460298,"CENPF"
"LTBP3",-0.47909782029883,4.11462996329645,-3.57961244486345,0.0017980993318625,0.278923753989402,-1.1863529726393,"LTBP3"
"GPT",-0.203782076848198,3.20714184897182,-3.57823399194018,0.00180393998564872,0.278923753989402,-1.18901378074449,"GPT"
"GPR89B",-0.451911770927762,4.32080955575271,-3.57740967619442,0.00180744162583596,0.278923753989402,-1.1906048929156,"GPR89B"
"SNHG5",1.19343883337924,9.18805233460173,3.57739372761768,0.00180750944034483,0.278923753989402,-1.19063567681442,"SNHG5"
"BCDIN3D",0.753880596580506,4.93152545482451,3.56927858690838,0.00184234269080892,0.278923753989402,-1.20629755622753,"BCDIN3D"
"IFI27",0.983223045962531,4.86431117875742,3.56790679171746,0.00184829592567946,0.278923753989402,-1.20894467594543,"IFI27"
"AUTS2",0.610973592823537,4.43150271410272,3.5662955293876,0.00185531258186336,0.278923753989402,-1.21205374484724,"AUTS2"
"YAF2",0.461570124701481,4.30314695451742,3.56562103319493,0.00185825763148015,0.278923753989402,-1.21335519651791,"YAF2"
"HDAC4",0.53207092338962,4.30383877170219,3.564403491239,0.00186358543834489,0.278923753989402,-1.2157043941687,"HDAC4"
"G3BP1",0.762791153924377,4.76319835505356,3.55909633408572,0.00188698507902415,0.278923753989402,-1.2259432792335,"G3BP1"
"ARMC1",0.563313830916959,4.85733856143995,3.55892305912971,0.00188775391736693,0.278923753989402,-1.2262775424053,"ARMC1"
"HIST2H3C",-0.166916973896275,3.14608094532512,-3.55751428503518,0.00189401624625603,0.278923753989402,-1.22899512682077,"HIST2H3C"
"ASCC3",0.343130956162159,3.94510965675938,3.55668766892039,0.00189770026333129,0.278923753989402,-1.23058964658253,"ASCC3"
"GID4",0.285550973892879,3.8971941003574,3.55460497689523,0.00190701359526892,0.278923753989402,-1.23460691300112,"GID4"
"UQCC1",0.863164501390978,5.76713892699024,3.55081199113928,0.00192409070036096,0.279493942282571,-1.24192243267696,"UQCC1"
"NOC4L",-0.225546837224486,3.41235934542096,-3.541660139646,0.00196591707173066,0.280601010206029,-1.25956979574557,"NOC4L"
"ADCY3",0.805842570107776,7.5217047077044,3.53570130047207,0.00199363011283108,0.280601010206029,-1.27105719447134,"ADCY3"
"LLGL1",1.07922479213255,5.60788724772492,3.53532462150839,0.00199539480894957,0.280601010206029,-1.27178327401035,"LLGL1"
"RAB40B",0.495605182261312,4.20362085463324,3.53434426764351,0.00199999485749593,0.280601010206029,-1.27367294202769,"RAB40B"
"DIPK1A",0.369800333473337,4.23869139010206,3.53334765715235,0.0020046818786956,0.280601010206029,-1.27559387950842,"DIPK1A"
"MIER3",0.154316707102828,3.17622447692999,3.52949396647945,0.00202290752271788,0.280601010206029,-1.28302112757892,"MIER3"
"UBE4B",0.707635114594169,6.23513827297888,3.52919498930089,0.00202432829882697,0.280601010206029,-1.28359730672529,"UBE4B"
"PARN",1.0075923046884,7.3229392988914,3.52625181337206,0.00203836712081967,0.280712272067166,-1.28926897589315,"PARN"
"KIZ",0.572809898817947,4.48782943972932,3.52192460312768,0.00205918176630836,0.281749205805598,-1.2976066817545,"KIZ"
"SLC38A2",0.814189726901969,5.82853040494569,3.51820045697391,0.00207726280728735,0.28240121549327,-1.30478136118382,"SLC38A2"
"RFX7",0.639164278432013,6.0563844528741,3.50512004621709,0.00214201480182388,0.283734093145632,-1.32997340639375,"RFX7"
"ZCCHC8",-0.4235633529776,4.15186194778035,-3.50378903443719,0.00214871388011572,0.283734093145632,-1.33253616236014,"ZCCHC8"
"BEX4",0.914446936061013,7.690879146131,3.50333879102938,0.0021509846449193,0.283734093145632,-1.33340304058173,"BEX4"
"GCNA",0.563169872427153,4.2941980560031,3.50231801391546,0.00215614158653793,0.283734093145632,-1.33536834370814,"GCNA"
"RAD21",0.776493663316051,5.59230917048112,3.50223192654013,0.00215657705303958,0.283734093145632,-1.33553408432962,"RAD21"
"RPL9",1.32816597770026,8.40696758616757,3.50010982972386,0.00216733888577859,0.283734093145632,-1.33961950170644,"RPL9"
"SMARCA5",0.435313200995371,4.1657165868836,3.49380663647065,0.00219961650764063,0.284718281333326,-1.35175231872943,"SMARCA5"
"ZBTB49",-0.504622180375442,4.54162311363418,-3.48935688735347,0.00222268685742957,0.284718281333326,-1.36031571170997,"ZBTB49"
"UGDH",0.543891000340828,4.23567800681871,3.48846463558698,0.00222734138990515,0.284718281333326,-1.36203264032325,"UGDH"
